path,width,height,mode,format
..\data\raw\img10081_E.jpg,907,633,RGB,JPEG
..\data\raw\img10081_F.jpg,976,642,RGB,JPEG
..\data\raw\img10082_A.jpg,965,662,RGB,JPEG
..\data\raw\img10082_B.jpg,952,662,RGB,JPEG
..\data\raw\img10082_C.jpg,951,663,RGB,JPEG
..\data\raw\img10083_single.jpg,2862,778,RGB,JPEG
..\data\raw\img10084_single.jpg,3157,1838,RGB,JPEG
..\data\raw\img10085_single.jpg,2469,1013,RGB,JPEG
..\data\raw\img10086_A.jpg,608,587,RGB,JPEG
..\data\raw\img10086_B.jpg,614,591,RGB,JPEG
..\data\raw\img10086_C.jpg,625,603,RGB,JPEG
..\data\raw\img10086_D.jpg,610,602,RGB,JPEG
..\data\raw\img10086_E.jpg,594,581,RGB,JPEG
..\data\raw\img10086_F.jpg,602,581,RGB,JPEG
..\data\raw\img10086_G.jpg,598,587,RGB,JPEG
..\data\raw\img10086_H.jpg,590,589,RGB,JPEG
..\data\raw\img10087_A.jpg,1010,954,RGB,JPEG
..\data\raw\img10087_B.jpg,978,925,RGB,JPEG
..\data\raw\img10087_B_2.jpg,983,966,RGB,JPEG
..\data\raw\img10087_C.jpg,1020,968,RGB,JPEG
..\data\raw\img10087_D.jpg,983,966,RGB,JPEG
..\data\raw\img10087_F.jpg,3131,276,RGB,JPEG
..\data\raw\img10088_A.jpg,1304,1068,RGB,JPEG
..\data\raw\img10088_B.jpg,1655,1049,RGB,JPEG
..\data\raw\img10088_C.jpg,1396,1048,RGB,JPEG
..\data\raw\img10089_A.jpg,928,1002,RGB,JPEG
..\data\raw\img10089_B.jpg,916,1004,RGB,JPEG
..\data\raw\img10089_C.jpg,938,1007,RGB,JPEG
..\data\raw\img10089_common.jpg,416,3025,RGB,JPEG
..\data\raw\img10089_D.jpg,894,974,RGB,JPEG
..\data\raw\img10089_E.jpg,923,974,RGB,JPEG
..\data\raw\img10089_F.jpg,914,972,RGB,JPEG
..\data\raw\img10089_G.jpg,921,1008,RGB,JPEG
..\data\raw\img10089_H.jpg,904,989,RGB,JPEG
..\data\raw\img10089_I.jpg,935,1019,RGB,JPEG
..\data\raw\img1008_A.jpg,761,576,RGB,JPEG
..\data\raw\img1008_B.jpg,778,577,RGB,JPEG
..\data\raw\img1008_C.jpg,794,578,RGB,JPEG
..\data\raw\img10090_A.jpg,945,893,RGB,JPEG
..\data\raw\img10090_B.jpg,930,909,RGB,JPEG
..\data\raw\img10090_C.jpg,911,903,RGB,JPEG
..\data\raw\img10090_C_2.jpg,910,900,RGB,JPEG
..\data\raw\img10090_D.jpg,938,929,RGB,JPEG
..\data\raw\img10090_E.jpg,923,908,RGB,JPEG
..\data\raw\img10090_F.jpg,922,920,RGB,JPEG
..\data\raw\img10090_G.jpg,912,909,RGB,JPEG
..\data\raw\img10090_H.jpg,916,916,RGB,JPEG
..\data\raw\img10090_I.jpg,921,934,RGB,JPEG
..\data\raw\img10091_A.jpg,1049,1069,RGB,JPEG
..\data\raw\img10091_A_2.jpg,1627,1062,RGB,JPEG
..\data\raw\img10091_B.jpg,1387,1075,RGB,JPEG
